City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
512,Key West,US,87.8,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
513,Samba,IN,77,32.57,75.12,"Vishal Guest House, Samba"
515,Asyut,EG,78.8,27.18,31.18,Florence Hotel Assiut
519,Lucapa,AO,72.14,-8.42,20.74,Residência Ulisses Dos Santos
520,Zhengjiatun,CN,77.88,43.51,123.51,Siping Hexiang Hotel
521,Nago,JP,84,26.59,127.98,Hotel Yugaf Inn Okinawa
525,Alta Floresta,BR,79.05,-9.88,-56.09,Floresta Amazonica Hotel
528,Bubaque,GW,79.93,11.28,-15.83,Casa Dora
530,Sumenep,ID,82.9,-7.02,113.87,OYO 3271 Homestay Pandian
533,Hobyo,SO,77.23,5.35,48.53,Osmani Hotel
535,Ruwi,OM,84.2,23.6,58.55,Al Falaj Hotel
536,Mumford,GH,73.98,5.26,-0.76,Spanish Villa
539,Matara,LK,79.16,5.95,80.54,Amaloh Boutique Resort
540,Santa Isabel,BR,71.6,-23.32,-46.22,Chácara Sombra do Altíssimo
542,Yining,CN,84.76,29.04,114.56,Xiushui Hotel
547,Misratah,LY,78.4,32.38,15.09,فندق الماسة
548,Nelson Bay,AU,73.4,-32.72,152.15,Mantra Nelson Bay
550,Hopelchen,MX,87.8,19.77,-89.85,Hotel Jaguar
553,Manokwari,ID,77.02,-0.87,134.08,Swiss Belhotel Manokwari
557,Westport,US,71.6,41.14,-73.36,The Westport Inn
561,Wang Saphung,TH,77,17.3,101.77,โรงแรมวังรีสอร์ท
562,Kokopo,PG,87.3,-4.35,152.26,Kokopo Beach Bungalow Resort
563,Kushima,JP,86,31.46,131.23,Hanaoka
567,Half Moon Bay,US,72,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
568,Golden,US,82.4,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
